alias,class,master_name
Liberty Oilfield Services,ServiceVendor,LIBERTY ENERGY SERVICES LLC
Liberty Energy,ServiceVendor,LIBERTY ENERGY SERVICES LLC
Core Geologic,ServiceVendor,CORE GEOLOGIC LLC
Baroid,ServiceVendor,HALLIBURTON ENERGY SERVICE INC
Halliburton Baroid,ServiceVendor,HALLIBURTON ENERGY SERVICE INC
IPT,ServiceVendor,NEW IPT INC
IPT Energy Services,ServiceVendor,NEW IPT INC
Integrated Petroleum Technologies,ServiceVendor,NEW IPT INC
IPT Well Solutions,ServiceVendor,NEW IPT INC
Dean R. Bauste Trucking,ServiceVendor,DEAN R BAUSTE TRUCKING INC
Island Grove Ranch 1H,Well,ISLAND GROVE RANCH UNIT 1H
Decleva B 1H,Well,DECLEVA UNIT B 1H
